,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Norman Wells,90,CA,1571019946,80,65.28,-126.83,272.15,1.5
1,Castro,0,CL,1571019947,65,-42.48,-73.76,281.15,4.6
2,Richards Bay,78,ZA,1571019948,82,-28.77,32.06,293.78,7.733
3,Sao Jose da Coroa Grande,49,BR,1571019949,79,-8.9,-35.15,298.76,8.053
4,Novorzhev,73,RU,1571019950,96,57.03,29.33,278.93,1.789
5,Pevek,100,RU,1571019952,67,69.7,170.27,273.87,6.923
6,Quelimane,1,MZ,1571019953,88,-17.88,36.89,295.15,1.0
7,Geraldton,90,CA,1571019954,96,49.72,-86.95,274.15,2.6
8,Griffith,100,AU,1571019957,18,-34.29,146.06,301.48,4.1
9,Hermanus,0,ZA,1571019958,90,-34.42,19.24,292.04,0.45
10,Kaitangata,99,NZ,1571019959,86,-46.28,169.85,282.53,11.42
11,New Norfolk,91,AU,1571019960,42,-42.78,147.06,297.59,1.79
12,Alice Springs,54,AU,1571019962,7,-23.7,133.88,309.15,3.6
13,Hobart,32,AU,1571019963,42,-42.88,147.33,297.59,1.79
14,Busselton,51,AU,1571019964,37,-33.64,115.35,292.04,3.97
15,Clyde River,90,CA,1571019966,85,70.47,-68.59,269.15,1.5
16,Navirai,23,BR,1571019967,79,-23.07,-54.19,295.07,2.01
17,Albany,1,US,1571019968,81,42.65,-73.75,284.82,1.802
18,Yellowknife,90,CA,1571019970,70,62.45,-114.38,273.15,2.6
19,Rikitea,100,PF,1571019971,83,-23.12,-134.97,294.82,5.113
20,Nikolskoye,75,RU,1571019972,86,59.7,30.79,278.71,1.347
21,Tuktoyaktuk,40,CA,1571019973,68,69.44,-133.03,272.15,6.2
22,Bocanda,83,CI,1571019975,97,7.06,-4.5,294.46,0.638
23,Punta Arenas,75,CL,1571019976,70,-53.16,-70.91,279.15,7.2
24,Cape Town,0,ZA,1571019977,87,-33.93,18.42,288.15,4.1
25,Vaini,40,IN,1571019978,100,15.34,74.49,296.15,3.728
26,Djambala,100,CG,1571019980,89,-2.55,14.76,293.66,1.145
27,Thompson,90,CA,1571019981,100,55.74,-97.86,274.15,3.1
28,Flinders,0,AU,1571019982,46,-34.58,150.85,298.15,3.1
